"","Phylum","Location - P","Location - EtaSq","Rock.type - P","Rock.type - EtaSq","Location X Rock.type - P","Location X Rock.type - EtaSq","Slope:Chalk - Slope:Limestone","Slope:Chalk - City:Chalk","Slope:Chalk - City:Limestone","Slope:Limestone - City:Chalk","Slope:Limestone - City:Limestone","City:Chalk - City:Limestone"
"1","Proteobacteria",0.715931161513999,0.00643693189675762,0.392331536961498,0.0350506598870901,0.0323886641197329,0.199997417388722,0.0915539857144105,0.68148368714739,0.987551111751703,0.563417925837683,0.192099518039641,0.869612192500895
"2","Gemmatimonadetes",0.0235519034187975,0.221131351869607,0.216158074917863,0.0718722271517303,0.816077861191382,0.00263471379359028,0.799916579877975,0.181258498795152,0.793065526277061,0.0384008993771122,0.31687434890362,0.665018296651934
"3","Firmicutes",0.376658273732659,0.0373944889037279,0.721276787746947,0.00618727923460197,0.96280171087105,0.000106065628107367,0.79185653178113,0.743482513033367,0.984421411689573,0.271435389885957,0.614160900228294,0.919226852688774
"4","Chloroflexi",0.420357312413887,0.031166504922424,0.478118032965357,0.0242369838420108,0.0848713854250282,0.134758370636728,0.221645902176638,0.935330937055532,0.99898193700174,0.53826967621123,0.199662862657775,0.896130379676133
"5","Actinobacteria",0.673478703059552,0.00862135324455387,0.0130596201936509,0.259378356025725,0.310512049345659,0.0489137818177326,0.639461874249308,0.98387970384289,0.10396896669895,0.459891898800372,0.642896101085507,0.0627661493741473
"6","Deinococcus-Thermus",0.264783078800847,0.0588349381489223,0.610779132706416,0.0125526647265777,0.562712261646139,0.016204788735089,0.953631481186459,0.958977927904098,0.990219288205091,0.763036090607722,0.858041998048407,0.99756032754253
"7","Bacteroidetes",0.234090198567552,0.0667059201544913,0.0727687447957029,0.145252353428833,0.194645095268162,0.0787426383070181,0.930433384805603,0.966700933687057,0.942138018707166,0.737559909683734,0.999979735674244,0.758864293915991
"8","Cyanobacteria",0.392252964156787,0.0350620896131733,0.727563933809332,0.00590070120715696,0.222159588828479,0.0700909603111082,0.777061687230156,0.446568182847481,0.838581906376622,0.947671878890344,0.999420819008695,0.911490172157247
