"","Phylum","Slope:Chalk","Slope:Limestone","Estimate diff.","low CI","high CI","Slope:Chalk","City:Chalk","Estimate diff.","low CI","high CI","Slope:Chalk","City:Limestone","Estimate diff.","low CI","high CI","Slope:Limestone","City:Chalk","Estimate diff.","low CI","high CI","Slope:Limestone","City:Limestone","Estimate diff.","low CI","high CI","City:Chalk","City:Limestone","Estimate diff.","low CI","high CI"
"1","Proteobacteria",6.33801559919839,11.9611185632872,-9.38095238095238,-20.4716811706209,1.70977640871615,6.33801559919839,11.6774800109085,-4.38095238095238,-15.4716811706209,6.70977640871614,6.33801559919839,7.22471060073082,-1.71428571428571,-12.8050145039542,9.37644307538282,11.9611185632872,11.6774800109085,5,-6.50939319126156,16.5093931912616,11.9611185632872,7.22471060073082,7.66666666666667,-3.84272652459489,19.1760598579282,11.6774800109085,7.22471060073082,2.66666666666667,-8.84272652459489,14.1760598579282
"2","Gemmatimonadetes",3.27281990058332,4.87542420888059,-3.26190476190477,-14.0679000085966,7.54409048478702,3.27281990058332,1.58542637989483,7.4047619047619,-3.40123334192988,18.2107571514537,3.27281990058332,2.29337089953893,2.4047619047619,-8.40123334192988,13.2107571514537,4.87542420888059,1.58542637989483,10.6666666666667,-0.547244562768084,21.8805778961014,4.87542420888059,2.29337089953893,5.66666666666667,-5.54724456276809,16.8805778961014,1.58542637989483,2.29337089953893,-5,-16.2139112294348,6.21391122943475
"3","Chloroflexi",4.18626293045309,8.04693998089076,-7.78571428571428,-19.1528692881626,3.581440716734,4.18626293045309,5.22434402873074,-2.28571428571429,-13.6528692881626,9.081440716734,4.18626293045309,4.02751541406405,0.547619047619053,-10.8195359548292,11.9147740500673,8.04693998089076,5.22434402873074,5.5,-6.29625422912386,17.2962542291239,8.04693998089076,4.02751541406405,8.33333333333334,-3.46292089579052,20.1295875624572,5.22434402873074,4.02751541406405,2.83333333333334,-8.96292089579052,14.6295875624572
"4","Actinobacteria",53.6473295355121,46.2118380286636,4.35714285714286,-6.30314566355672,15.0174313778424,53.6473295355121,60.3052540746826,-1.30952380952381,-11.9698123302234,9.35076471117577,53.6473295355121,40.5768101309038,8.85714285714286,-1.80314566355672,19.5174313778424,46.2118380286636,60.3052540746826,-5.66666666666667,-16.7293708805969,5.39603754726358,46.2118380286636,40.5768101309038,4.5,-6.56270421393025,15.5627042139302,60.3052540746826,40.5768101309038,10.1666666666667,-0.896037547263582,21.2293708805969
"5","Deinococcus-Thermus",4.05034342878393,6.34920382410957,-2.21428571428572,-14.642505405537,10.2139339769656,4.05034342878393,3.51389117055142,2.11904761904761,-10.3091720722037,14.5472673102989,4.05034342878393,4.65351809117765,1.28571428571429,-11.142505405537,13.7139339769656,6.34920382410957,3.51389117055142,4.33333333333333,-8.56403976150235,17.230706428169,6.34920382410957,4.65351809117765,3.5,-9.39737309483568,16.3973730948357,3.51389117055142,4.65351809117765,-0.833333333333327,-13.730706428169,12.0640397615024
"6","Bacteroidetes",4.74261261963207,7.36723378178188,-2.54761904761905,-14.8807704791581,9.78553238391998,4.74261261963207,4.18505793347368,1.95238095238095,-10.3807704791581,14.28553238392,4.74261261963207,20.2797379469133,-2.38095238095238,-14.7141038124914,9.95219905058665,7.36723378178188,4.18505793347368,4.5,-8.29871609926867,17.2987160992687,7.36723378178188,20.2797379469133,0.166666666666669,-12.632049432602,12.9653827659353,4.18505793347368,20.2797379469133,-4.33333333333333,-17.132049432602,8.46538276593534
"7","Cyanobacteria",23.2060758070317,14.6653693998828,3.95238095238095,-8.12819604329776,16.0329579480597,23.2060758070317,12.6990874036287,6.28571428571428,-5.79486270996442,18.366291281393,23.2060758070317,20.0867024976133,3.45238095238095,-8.62819604329776,15.5329579480597,14.6653693998828,12.6990874036287,2.33333333333333,-10.2032738867528,14.8699405534195,14.6653693998828,20.0867024976133,-0.5,-13.0366072200861,12.0366072200861,12.6990874036287,20.0867024976133,-2.83333333333333,-15.3699405534195,9.7032738867528
