"","Phylum","City","Slope","Estimate diff.","low CI","high CI"
"1","Proteobacteria",8.93329389031628,9.45109530581968,1.28205128205128,-4.91926799076628,7.48337055486884
"2","Gemmatimonadetes",4.01248342748975,1.93939863971688,6.41025641025641,0.832015023666881,11.9884977968459
"3","Chloroflexi",5.96811387680894,4.62592972139739,2.72435897435897,-3.38965986631434,8.83837781503228
"4","Actinobacteria",50.215564224659,50.4410321027932,1.76282051282051,-4.41649930067514,7.94214032631616
"5","Deinococcus-Thermus",5.11135591893423,4.08370463086453,2.72435897435897,-3.38965986631434,8.83837781503228
"6","Bacteroidetes",5.95397623293198,12.2323979401935,0.961538461538461,-5.25055902795549,7.17363595103242
"7","Cyanobacteria",19.2642113114245,16.392894950621,3.04487179487179,-3.04094642419529,9.13069001393888
